cell,cell_ontology_class,subtissue,mouse.sex,mouse.id,plate.barcode
A1.B003290.3_38_F.1.1,astrocyte,Striatum,F,3_38_F,B003290
A1.B003728.3_56_F.1.1,astrocyte,Striatum,F,3_56_F,B003728
A1.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560
A1.MAA000564.3_10_M.1.1,endothelial cell,Striatum,M,3_10_M,MAA000564
A1.MAA000923.3_9_M.1.1,astrocyte,Hippocampus,M,3_9_M,MAA000923
A1.MAA000930.3_8_M.1.1,oligodendrocyte,Cortex,M,3_8_M,MAA000930
A1.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932
A1.MAA000940.3_8_M.1.1,neuron,Striatum,M,3_8_M,MAA000940
A1.MAA001854.3_38_F.1.1,oligodendrocyte,Cerebellum,F,3_38_F,MAA001854
A1.MAA001894.3_39_F.1.1,endothelial cell,Cortex,F,3_39_F,MAA001894
A1.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895
A10.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290
A10.MAA000564.3_10_M.1.1,oligodendrocyte precursor cell,Striatum,M,3_10_M,MAA000564
A10.MAA000641.3_9_M.1.1,oligodendrocyte,Cerebellum,M,3_9_M,MAA000641
A10.MAA000926.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000926
A10.MAA000930.3_8_M.1.1,oligodendrocyte precursor cell,Cortex,M,3_8_M,MAA000930
A10.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932
A10.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935
A10.MAA000941.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000941
A10.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944
A10.MAA001853.3_38_F.1.1,endothelial cell,Cerebellum,F,3_38_F,MAA001853
A10.MAA001854.3_38_F.1.1,oligodendrocyte,Cerebellum,F,3_38_F,MAA001854
A11.B000404.3_56_F.1.1,astrocyte,Cerebellum,F,3_56_F,B000404
A11.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275
A11.MAA000560.3_10_M.1.1,oligodendrocyte precursor cell,Cortex,M,3_10_M,MAA000560
A11.MAA000561.3_10_M.1.1,oligodendrocyte precursor cell,Cortex,M,3_10_M,MAA000561
A11.MAA000564.3_10_M.1.1,neuron,Striatum,M,3_10_M,MAA000564
A11.MAA000641.3_9_M.1.1,oligodendrocyte,Cerebellum,M,3_9_M,MAA000641
A11.MAA000902.3_11_M.1.1,oligodendrocyte,Striatum,M,3_11_M,MAA000902
A11.MAA000923.3_9_M.1.1,astrocyte,Hippocampus,M,3_9_M,MAA000923
A11.MAA000926.3_9_M.1.1,endothelial cell,Cortex,M,3_9_M,MAA000926
A11.MAA000928.3_9_M.1.1,Bergmann glial cell,Cerebellum,M,3_9_M,MAA000928
A11.MAA000930.3_8_M.1.1,oligodendrocyte,Cortex,M,3_8_M,MAA000930
A11.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932
A11.MAA000942.3_8_M.1.1,neuron,Striatum,M,3_8_M,MAA000942
A11.MAA000944.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000944
A12.B001688.3_38_F.1.1,oligodendrocyte precursor cell,Hippocampus,F,3_38_F,B001688
A12.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275
A12.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290
A12.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560
A12.MAA000581.3_10_M.1.1,endothelial cell,Cerebellum,M,3_10_M,MAA000581
A12.MAA000615.3_10_M.1.1,neuron,Striatum,M,3_10_M,MAA000615
A12.MAA000641.3_9_M.1.1,oligodendrocyte,Cerebellum,M,3_9_M,MAA000641
A12.MAA000926.3_9_M.1.1,oligodendrocyte precursor cell,Cortex,M,3_9_M,MAA000926
A12.MAA000930.3_8_M.1.1,astrocyte,Cortex,M,3_8_M,MAA000930
A12.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935
A12.MAA000941.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000941
A12.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944
A12.MAA001854.3_38_F.1.1,oligodendrocyte,Cerebellum,F,3_38_F,MAA001854
A13.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275
A13.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290
A13.MAA000424.3_11_M.1.1,neuron,Cerebellum,M,3_11_M,MAA000424
A13.MAA000560.3_10_M.1.1,astrocyte,Cortex,M,3_10_M,MAA000560
A13.MAA000563.3_10_M.1.1,oligodendrocyte,Hippocampus,M,3_10_M,MAA000563
A13.MAA000615.3_10_M.1.1,neuron,Striatum,M,3_10_M,MAA000615
A13.MAA000923.3_9_M.1.1,astrocyte,Hippocampus,M,3_9_M,MAA000923
A13.MAA000930.3_8_M.1.1,oligodendrocyte,Cortex,M,3_8_M,MAA000930
A13.MAA000941.3_8_M.1.1,endothelial cell,Hippocampus,M,3_8_M,MAA000941
A13.MAA000944.3_9_M.1.1,endothelial cell,Cortex,M,3_9_M,MAA000944
A14.B003274.3_38_F.1.1,oligodendrocyte,Striatum,F,3_38_F,B003274
A14.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275
A14.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290
A14.B003728.3_56_F.1.1,oligodendrocyte,Striatum,F,3_56_F,B003728
A14.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560
A14.MAA000561.3_10_M.1.1,neuron,Cortex,M,3_10_M,MAA000561
A14.MAA000581.3_10_M.1.1,brain pericyte,Cerebellum,M,3_10_M,MAA000581
A14.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926
A14.MAA000930.3_8_M.1.1,brain pericyte,Cortex,M,3_8_M,MAA000930
A14.MAA000942.3_8_M.1.1,neuron,Striatum,M,3_8_M,MAA000942
A14.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944
A14.MAA000947.3_9_M.1.1,brain pericyte,Hippocampus,M,3_9_M,MAA000947
A14.MAA001845.3_39_F.1.1,endothelial cell,Cerebellum,F,3_39_F,MAA001845
A15.B003275.3_38_F.1.1,oligodendrocyte,Hippocampus,F,3_38_F,B003275
A15.B003277.3_39_F.1.1,oligodendrocyte,Hippocampus,F,3_39_F,B003277
A15.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290
A15.MAA000560.3_10_M.1.1,astrocyte,Cortex,M,3_10_M,MAA000560
A15.MAA000561.3_10_M.1.1,brain pericyte,Cortex,M,3_10_M,MAA000561
A15.MAA000581.3_10_M.1.1,endothelial cell,Cerebellum,M,3_10_M,MAA000581
A15.MAA000641.3_9_M.1.1,oligodendrocyte,Cerebellum,M,3_9_M,MAA000641
A15.MAA000930.3_8_M.1.1,endothelial cell,Cortex,M,3_8_M,MAA000930
